Feature,Importance
material_stainless_steel,0.18285125
material_carbon_steel,0.15050612
corrosion_type_uniform,0.11775773
coating_fusion_bonded,0.11268736
coating_none,0.09425048
coating_polyethylene,0.06537361
corrosion_type_stress_cracking,0.043271463
material_alloy_steel,0.041578874
temperature,0.041317236
material_copper_alloy,0.03747744
flow_rate,0.026568623
corrosion_type_erosion,0.024979835
corrosion_type_crevice,0.014727255
Cl_conc,0.011735803
pH,0.009717479
pipe_age,0.006625674
coating_epoxy,0.006349507
corrosion_type_pitting,0.0043732375
corrosion_aggressiveness,0.0029740396
temp_cl_index,0.0024386437
age_degradation,0.000855958
flow_pressure_ratio,0.00055364164
pressure,0.00043173393
H2S_conc,0.00032378855
CO2_conc,0.00014263914
O2_content,0.00013063452
