Feature,Importance
material_alloy_steel,423.12567339963175
CO2_conc,419.1860873227436
material_carbon_steel,416.74493399765146
corrosion_aggressiveness,411.66741903937145
material_stainless_steel,411.6204662395326
material_copper_alloy,410.18024327414906
corrosion_type_pitting,406.39349523726605
flow_rate,399.65064109871753
H2S_conc,399.64108319670675
pipe_age,399.23333943532504
corrosion_type_crevice,397.4557869234412
O2_content,396.65460720710036
age_degradation,395.00994131810364
Cl_conc,390.44458244683466
temp_cl_index,390.14788205036905
pressure,388.55325834081725
coating_epoxy,387.7591460964324
temperature,387.3590847394008
corrosion_type_stress_cracking,387.3030405684007
coating_none,387.16227695196443
corrosion_type_uniform,385.40911244570543
pH,384.54555699019727
coating_fusion_bonded,382.800263147661
coating_polyethylene,380.28447477513737
corrosion_type_erosion,379.76531986653026
flow_pressure_ratio,379.7038118674023
